id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
1;8;0;0;0;1;0;0;0;2;0;1;0;0;4;507.837303
2;4;0;0;0;1;0;0;0;0;1;1;0;0;3;462.0151652
3;4;1;0;1;0;0;0;0;0;1;0;0;0;3;462.0151652
4;5;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
5;7;0;0;0;1;0;0;0;0;0;0;0;1;2;446.0447608
6;3;0;0;0;0;0;0;0;0;0;1;0;0;1;707.1721562
7;7;0;0;1;0;0;0;0;0;0;0;0;1;2;446.0447608
8;5;0;1;0;1;0;0;0;0;1;1;0;0;4;507.837303
9;2;0;0;0;1;0;0;0;1;1;1;0;0;4;507.837303
10;2;0;1;0;1;0;0;0;0;1;0;0;0;3;462.0151652
11;8;0;0;0;1;0;0;0;1;0;1;0;0;3;462.0151652
12;7;0;0;1;1;0;0;0;1;1;1;0;0;5;395.5361707
13;8;0;0;0;0;0;1;0;0;0;0;0;0;1;707.1721562
14;3;0;0;1;0;0;0;0;0;1;1;0;0;3;462.0151652
15;5;0;0;0;0;0;0;0;0;1;0;1;0;2;446.0447608
16;6;0;0;0;1;0;0;1;1;0;1;0;0;4;507.837303
17;1;0;0;0;1;0;0;0;0;0;1;0;0;2;446.0447608
18;6;0;1;0;1;0;0;0;0;1;1;0;0;4;507.837303
19;4;0;0;0;0;0;0;0;2;1;0;0;0;3;462.0151652
20;6;0;0;1;0;0;0;0;0;0;0;0;0;1;707.1721562
21;5;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
22;8;0;1;0;1;0;0;0;0;1;0;0;0;3;462.0151652
23;3;0;0;0;1;0;0;0;0;0;0;0;1;2;446.0447608
24;4;0;0;0;0;1;0;0;0;1;0;1;0;3;462.0151652
25;1;0;0;1;0;1;0;0;0;1;1;0;0;4;507.837303
26;5;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
27;1;0;0;0;0;0;0;0;1;0;1;0;0;2;446.0447608
28;6;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
29;7;2;0;1;0;0;0;1;0;1;0;0;0;5;395.5361707
30;4;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
31;8;0;0;1;0;0;1;0;0;0;0;1;0;3;462.0151652
32;1;0;0;0;0;1;0;1;0;1;0;1;0;4;507.837303
33;2;0;0;0;0;1;0;0;0;2;0;1;0;4;507.837303
34;6;0;0;0;0;0;0;0;1;0;1;0;0;2;446.0447608
35;6;0;1;0;0;0;0;1;0;1;0;0;0;3;462.0151652
36;1;0;0;2;0;1;0;0;0;0;0;1;0;4;507.837303
37;4;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
38;8;0;0;0;0;0;0;0;0;0;0;0;1;1;707.1721562
39;8;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
40;6;1;0;1;0;0;0;1;0;1;0;0;0;4;507.837303
41;4;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
42;5;0;1;0;0;0;0;0;0;0;1;0;0;2;446.0447608
43;6;1;0;1;0;0;0;0;0;1;0;0;0;3;462.0151652
44;8;1;0;0;1;0;0;0;0;1;1;0;0;4;507.837303
45;1;0;0;0;1;0;0;0;0;0;0;1;0;2;446.0447608
46;2;0;0;0;1;0;0;0;0;1;0;0;0;2;446.0447608
47;8;0;0;0;0;0;0;0;0;0;1;0;0;1;707.1721562
48;6;0;0;0;0;0;0;0;0;1;0;1;0;2;446.0447608
49;7;0;0;2;0;0;0;0;0;1;0;1;0;4;507.837303
50;4;0;1;1;0;0;0;0;0;1;1;0;0;4;507.837303
51;3;0;0;0;1;0;0;0;1;0;1;0;0;3;462.0151652
52;5;0;1;0;1;0;0;0;1;0;1;0;0;4;507.837303
53;3;0;0;1;0;0;0;0;0;1;0;0;0;2;446.0447608
54;6;0;0;1;0;0;0;0;0;0;0;1;0;2;446.0447608
55;8;0;0;0;0;1;0;0;0;0;0;0;0;1;707.1721562
56;8;0;0;1;0;0;0;0;0;0;0;1;0;2;446.0447608
57;6;0;1;0;1;0;0;0;1;0;1;0;0;4;507.837303
58;2;0;0;0;0;0;0;0;0;0;1;0;1;2;446.0447608
59;1;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
60;7;0;0;0;0;0;1;0;0;0;0;1;0;2;446.0447608
61;7;0;0;1;0;0;0;0;0;0;0;0;1;2;446.0447608
62;4;0;0;0;0;0;1;0;0;2;0;0;1;4;507.837303
63;7;0;0;1;0;0;1;0;0;2;0;1;0;5;395.5361707
64;8;0;0;0;0;0;0;0;0;1;1;0;0;2;446.0447608
65;7;0;0;0;0;1;0;0;0;0;0;0;1;2;446.0447608
66;4;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
67;4;0;0;1;0;0;0;0;0;0;0;0;0;1;707.1721562
68;4;0;0;1;0;1;0;0;0;0;0;1;0;3;462.0151652
69;5;0;1;0;0;1;0;0;0;0;1;0;0;3;462.0151652
70;8;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
71;4;0;0;1;0;0;0;0;0;0;0;1;0;2;446.0447608
72;4;0;1;0;1;0;0;0;0;1;1;0;0;4;507.837303
73;2;0;0;1;0;0;0;0;0;1;0;0;0;2;446.0447608
74;8;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
75;6;2;0;1;0;0;0;1;0;1;0;0;0;5;395.5361707
76;5;0;0;0;0;1;0;0;0;0;1;0;0;2;446.0447608
77;2;0;0;0;1;0;0;0;0;0;0;0;0;1;707.1721562
78;6;0;1;0;0;0;0;0;0;0;1;0;0;2;446.0447608
79;8;0;3;0;1;0;0;0;0;1;0;0;0;5;395.5361707
80;5;0;1;0;1;0;0;1;0;1;0;0;0;4;507.837303
81;6;0;0;1;0;0;0;1;0;1;0;0;0;3;462.0151652
82;5;0;0;0;0;1;0;0;0;0;1;0;0;2;446.0447608
83;5;0;0;0;1;0;0;0;0;0;1;0;0;2;446.0447608
84;8;0;0;1;0;0;0;1;0;1;0;0;0;3;462.0151652
85;7;0;0;0;0;0;0;0;0;0;1;0;1;2;446.0447608
86;5;0;0;0;0;0;0;0;2;1;0;0;0;3;462.0151652
87;6;1;0;0;0;0;1;0;0;0;1;0;0;3;462.0151652
88;6;1;2;1;0;0;0;0;0;1;0;0;0;5;395.5361707
89;6;0;0;1;0;0;0;0;0;0;0;0;0;1;707.1721562
90;3;1;0;1;0;0;0;0;0;1;0;0;0;3;462.0151652
91;2;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
92;2;1;0;1;0;0;0;1;0;1;0;0;0;4;507.837303
93;5;0;1;0;1;0;0;0;0;1;0;0;0;3;462.0151652
94;4;0;0;1;0;1;0;0;0;0;0;1;0;3;462.0151652
95;2;0;1;1;0;0;0;0;0;0;1;0;0;3;462.0151652
96;7;0;0;0;0;0;0;0;0;0;1;0;1;2;446.0447608
97;7;0;0;0;0;0;1;0;0;0;0;1;0;2;446.0447608
98;8;0;0;1;0;1;0;0;0;0;0;1;0;3;462.0151652
99;1;0;0;0;0;0;0;1;0;2;1;0;0;4;507.837303
100;6;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
101;2;0;2;0;0;0;0;0;0;1;0;0;0;3;462.0151652
102;7;0;0;0;0;0;1;0;1;1;0;0;1;4;507.837303
103;5;0;0;0;1;0;0;0;0;0;0;0;1;2;446.0447608
104;6;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
105;1;0;0;0;0;0;0;0;0;0;0;1;1;2;446.0447608
106;3;0;1;0;0;1;0;0;0;2;1;0;0;5;395.5361707
107;2;0;0;0;1;0;0;0;0;1;0;0;0;2;446.0447608
108;6;0;0;0;0;0;0;1;0;1;0;0;1;3;462.0151652
109;4;2;0;1;0;0;0;0;0;1;0;0;0;4;507.837303
110;6;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
111;7;0;0;0;0;0;0;0;0;0;0;0;1;1;707.1721562
112;2;0;0;1;0;0;0;0;0;1;0;0;0;2;446.0447608
113;3;0;0;0;0;0;1;0;1;0;0;0;1;3;462.0151652
114;2;0;1;0;1;0;0;0;1;0;1;0;0;4;507.837303
115;8;1;0;1;0;0;0;0;0;1;0;0;0;3;462.0151652
116;2;0;0;0;1;0;0;0;1;0;1;0;0;3;462.0151652
117;4;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
118;1;0;1;0;1;0;0;0;0;0;1;0;0;3;462.0151652
119;7;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
120;4;0;0;1;0;1;0;0;0;0;0;1;0;3;462.0151652
121;3;0;1;0;0;1;0;0;1;0;1;0;0;4;507.837303
122;2;0;0;0;0;0;1;0;0;0;0;1;0;2;446.0447608
123;3;0;0;0;0;0;1;0;0;0;0;1;1;3;462.0151652
124;6;2;1;1;0;0;0;0;0;1;0;0;0;5;395.5361707
125;2;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
126;2;0;0;1;0;0;0;0;0;1;0;0;0;2;446.0447608
127;5;0;0;1;0;0;1;0;0;0;0;1;0;3;462.0151652
128;1;0;0;0;0;1;0;0;0;2;0;1;0;4;507.837303
129;5;0;0;1;0;0;0;0;0;1;0;1;0;3;462.0151652
130;7;1;0;1;0;0;0;0;1;0;0;0;0;3;462.0151652
131;5;0;0;0;0;0;1;0;0;0;0;1;0;2;446.0447608
