id_hd;REGION;s1a1;s1a2;s1a3;s1a4;s1a5;s1a6;s2a1;s2a2;s2a3;s2a4;s2a5;s2a6;MEMBERS;Weight
1;4;0;0;0;1;0;0;0;0;1;1;0;0;3;462.0151652
2;4;1;0;1;0;0;0;0;0;1;0;0;0;3;462.0151652
3;5;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
4;3;0;0;0;0;0;0;0;0;0;1;0;0;1;707.1721562
5;5;0;1;0;1;0;0;0;0;1;1;0;0;4;507.837303
6;2;0;0;0;1;0;0;0;1;1;1;0;0;4;507.837303
7;2;0;1;0;1;0;0;0;0;1;0;0;0;3;462.0151652
8;3;0;0;1;0;0;0;0;0;1;1;0;0;3;462.0151652
9;5;0;0;0;0;0;0;0;0;1;0;1;0;2;446.0447608
10;6;0;0;0;1;0;0;1;1;0;1;0;0;4;507.837303
11;1;0;0;0;1;0;0;0;0;0;1;0;0;2;446.0447608
12;6;0;1;0;1;0;0;0;0;1;1;0;0;4;507.837303
13;4;0;0;0;0;0;0;0;2;1;0;0;0;3;462.0151652
14;6;0;0;1;0;0;0;0;0;0;0;0;0;1;707.1721562
15;5;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
16;3;0;0;0;1;0;0;0;0;0;0;0;1;2;446.0447608
17;4;0;0;0;0;1;0;0;0;1;0;1;0;3;462.0151652
18;1;0;0;1;0;1;0;0;0;1;1;0;0;4;507.837303
19;5;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
20;1;0;0;0;0;0;0;0;1;0;1;0;0;2;446.0447608
21;6;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
22;4;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
23;1;0;0;0;0;1;0;1;0;1;0;1;0;4;507.837303
24;2;0;0;0;0;1;0;0;0;2;0;1;0;4;507.837303
25;6;0;0;0;0;0;0;0;1;0;1;0;0;2;446.0447608
26;6;0;1;0;0;0;0;1;0;1;0;0;0;3;462.0151652
27;1;0;0;2;0;1;0;0;0;0;0;1;0;4;507.837303
28;4;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
29;6;1;0;1;0;0;0;1;0;1;0;0;0;4;507.837303
30;4;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
31;5;0;1;0;0;0;0;0;0;0;1;0;0;2;446.0447608
32;6;1;0;1;0;0;0;0;0;1;0;0;0;3;462.0151652
33;1;0;0;0;1;0;0;0;0;0;0;1;0;2;446.0447608
34;2;0;0;0;1;0;0;0;0;1;0;0;0;2;446.0447608
35;6;0;0;0;0;0;0;0;0;1;0;1;0;2;446.0447608
36;4;0;1;1;0;0;0;0;0;1;1;0;0;4;507.837303
37;3;0;0;0;1;0;0;0;1;0;1;0;0;3;462.0151652
38;5;0;1;0;1;0;0;0;1;0;1;0;0;4;507.837303
39;3;0;0;1;0;0;0;0;0;1;0;0;0;2;446.0447608
40;6;0;0;1;0;0;0;0;0;0;0;1;0;2;446.0447608
41;6;0;1;0;1;0;0;0;1;0;1;0;0;4;507.837303
42;2;0;0;0;0;0;0;0;0;0;1;0;1;2;446.0447608
43;1;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
44;4;0;0;0;0;0;1;0;0;2;0;0;1;4;507.837303
45;4;0;0;0;0;1;0;0;0;0;0;1;0;2;446.0447608
46;4;0;0;1;0;0;0;0;0;0;0;0;0;1;707.1721562
47;4;0;0;1;0;1;0;0;0;0;0;1;0;3;462.0151652
48;5;0;1;0;0;1;0;0;0;0;1;0;0;3;462.0151652
49;4;0;0;1;0;0;0;0;0;0;0;1;0;2;446.0447608
50;4;0;1;0;1;0;0;0;0;1;1;0;0;4;507.837303
51;2;0;0;1;0;0;0;0;0;1;0;0;0;2;446.0447608
52;6;2;0;1;0;0;0;1;0;1;0;0;0;5;395.5361707
53;5;0;0;0;0;1;0;0;0;0;1;0;0;2;446.0447608
54;2;0;0;0;1;0;0;0;0;0;0;0;0;1;707.1721562
55;6;0;1;0;0;0;0;0;0;0;1;0;0;2;446.0447608
56;5;0;1;0;1;0;0;1;0;1;0;0;0;4;507.837303
57;6;0;0;1;0;0;0;1;0;1;0;0;0;3;462.0151652
58;5;0;0;0;0;1;0;0;0;0;1;0;0;2;446.0447608
59;5;0;0;0;1;0;0;0;0;0;1;0;0;2;446.0447608
60;5;0;0;0;0;0;0;0;2;1;0;0;0;3;462.0151652
61;6;1;0;0;0;0;1;0;0;0;1;0;0;3;462.0151652
62;6;1;2;1;0;0;0;0;0;1;0;0;0;5;395.5361707
63;6;0;0;1;0;0;0;0;0;0;0;0;0;1;707.1721562
64;3;1;0;1;0;0;0;0;0;1;0;0;0;3;462.0151652
65;2;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
66;2;1;0;1;0;0;0;1;0;1;0;0;0;4;507.837303
67;5;0;1;0;1;0;0;0;0;1;0;0;0;3;462.0151652
68;4;0;0;1;0;1;0;0;0;0;0;1;0;3;462.0151652
69;2;0;1;1;0;0;0;0;0;0;1;0;0;3;462.0151652
70;1;0;0;0;0;0;0;1;0;2;1;0;0;4;507.837303
71;6;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
72;2;0;2;0;0;0;0;0;0;1;0;0;0;3;462.0151652
73;5;0;0;0;1;0;0;0;0;0;0;0;1;2;446.0447608
74;6;0;0;0;0;0;1;0;0;0;0;0;1;2;446.0447608
