"id_hd";"SEXAGE"
1;"14"
1;"23"
1;"24"
2;"11"
2;"13"
2;"23"
3;"16"
3;"26"
4;"24"
5;"12"
5;"14"
5;"23"
5;"24"
6;"14"
6;"22"
6;"23"
6;"24"
7;"12"
7;"14"
7;"23"
8;"13"
8;"23"
8;"24"
9;"23"
9;"25"
10;"14"
10;"21"
10;"22"
10;"24"
11;"14"
11;"24"
12;"12"
12;"14"
12;"23"
12;"24"
13;"22"
13;"22"
13;"23"
14;"13"
15;"15"
15;"25"
16;"14"
16;"26"
17;"15"
17;"23"
17;"25"
18;"13"
18;"15"
18;"23"
18;"24"
19;"15"
19;"25"
20;"22"
20;"24"
21;"16"
21;"26"
22;"15"
22;"25"
23;"15"
23;"21"
23;"23"
23;"25"
24;"15"
24;"23"
24;"23"
24;"25"
25;"22"
25;"24"
26;"12"
26;"21"
26;"23"
27;"13"
27;"13"
27;"15"
27;"25"
28;"16"
28;"26"
29;"11"
29;"13"
29;"21"
29;"23"
30;"15"
30;"25"
31;"12"
31;"24"
32;"11"
32;"13"
32;"23"
33;"14"
33;"25"
34;"14"
34;"23"
35;"23"
35;"25"
36;"12"
36;"13"
36;"23"
36;"24"
37;"14"
37;"22"
37;"24"
38;"12"
38;"14"
38;"22"
38;"24"
39;"13"
39;"23"
40;"13"
40;"25"
41;"12"
41;"14"
41;"22"
41;"24"
42;"24"
42;"26"
43;"16"
43;"26"
44;"16"
44;"23"
44;"23"
44;"26"
45;"15"
45;"25"
46;"13"
47;"13"
47;"15"
47;"25"
48;"12"
48;"15"
48;"24"
49;"13"
49;"25"
50;"12"
50;"14"
50;"23"
50;"24"
51;"13"
51;"23"
52;"11"
52;"11"
52;"13"
52;"21"
52;"23"
53;"15"
53;"24"
54;"14"
55;"12"
55;"24"
56;"12"
56;"14"
56;"21"
56;"23"
57;"13"
57;"21"
57;"23"
58;"15"
58;"24"
59;"14"
59;"24"
60;"22"
60;"22"
60;"23"
61;"11"
61;"16"
61;"24"
62;"11"
62;"12"
62;"12"
62;"13"
62;"23"
63;"13"
64;"11"
64;"13"
64;"23"
65;"16"
65;"26"
66;"11"
66;"13"
66;"21"
66;"23"
67;"12"
67;"14"
67;"23"
68;"13"
68;"15"
68;"25"
69;"12"
69;"13"
69;"24"
70;"21"
70;"23"
70;"23"
70;"24"
71;"16"
71;"26"
72;"12"
72;"12"
72;"23"
73;"14"
73;"26"
74;"16"
74;"26"
75;"25"
75;"26"
76;"12"
